"일자","요일","도로명","링크아이디","시점명","종점명","방향","거리","차선수","기능유형구분","도심.외곽구분","권역구분","X18시"
20200801,"토","강남대로",1220021100,"우성아파트","강남역","상행",586,4,"주간선도로","외곽","강남구",18.74
20200801,"토","강남대로",1220016200,"우성아파트","뱅뱅사거리","하행",414,4,"주간선도로","외곽","강남구",27.39
20200801,"토","개포로",1220020500,"대청초교","대청역","상행",862,2,"기타도로","외곽","강남구",26.05
20200801,"토","개포로",1220018600,"대청역","수서경찰서","상행",318,2,"기타도로","외곽","강남구",27.22
20200801,"토","개포로",1220017200,"수서경찰서","대모산입구역","상행",333,2,"기타도로","외곽","강남구",25.34
20200801,"토","개포로",1220015600,"대모산입구역","개포2동주민센터","상행",388,2,"기타도로","외곽","강남구",27.3
20200801,"토","개포로",1220013600,"개포2동주민센터","개포동역","상행",270,2,"기타도로","외곽","강남구",18.3
20200801,"토","개포로",1220012000,"개포동역","개포고교","상행",889,2,"기타도로","외곽","강남구",26.1
20200801,"토","개포로",1220008200,"개포고교","구룡초교","상행",558,2,"기타도로","외곽","강남구",22.37
20200801,"토","개포로",1220007000,"구룡초교","포이사거리","상행",888,2,"기타도로","외곽","강남구",23.97
20200801,"토","개포로",1220008300,"구룡초교","개포고교","하행",562,2,"기타도로","외곽","강남구",20.7
20200801,"토","개포로",1220012100,"개포고교","개포동역","하행",881,2,"기타도로","외곽","강남구",26.86
20200801,"토","개포로",1220013700,"개포동역","개포2동주민센터","하행",270,2,"기타도로","외곽","강남구",21.44
20200801,"토","개포로",1220015700,"개포2동주민센터","대모산입구역","하행",392,2,"기타도로","외곽","강남구",17.49
20200801,"토","개포로",1220017300,"대모산입구역","수서경찰서","하행",333,2,"기타도로","외곽","강남구",21.89
20200801,"토","개포로",1220018700,"수서경찰서","대청역","하행",318,2,"기타도로","외곽","강남구",30.5
20200801,"토","개포로",1220020400,"대청역","대청초교","하행",842,2,"기타도로","외곽","강남구",29.66
20200801,"토","광평로",1220008000,"일원터널","일원역","상행",1031,2,"주간선도로","외곽","강남구",40.61
20200801,"토","광평로",1220010100,"일원역","수서역","상행",1693,2,"주간선도로","외곽","강남구",23.3
20200801,"토","광평로",1220013300,"수서역","광평교","상행",724,3,"주간선도로","외곽","강남구",25.82
20200801,"토","광평로",1220010000,"수서역","일원역","하행",1691,3,"주간선도로","외곽","강남구",26.74
20200801,"토","광평로",1220008100,"일원역","일원터널","하행",999,3,"주간선도로","외곽","강남구",26.11
20200801,"토","남부순환로",1220012500,"매봉역","매봉터널","상행",458,4,"주간선도로","외곽","강남구",27.01
20200801,"토","남부순환로",1220014300,"매봉터널","도곡역","상행",564,4,"주간선도로","외곽","강남구",23.82
20200801,"토","남부순환로",1220018500,"도곡역","대치역","상행",798,4,"주간선도로","외곽","강남구",25.35
20200801,"토","남부순환로",1220021300,"대치역","학여울역","상행",628,4,"주간선도로","외곽","강남구",19.67
20200801,"토","남부순환로",1220022800,"학여울역","탄천1교서측","상행",955,3,"주간선도로","외곽","강남구",38.31
20200801,"토","남부순환로",1220023500,"탄천1교서측","남부순환로탄천IC합류","상행",393,4,"주간선도로","외곽","강남구",51.4
20200801,"토","남부순환로",1220022000,"남부순환로탄천IC합류","남부순환로탄천IC진입","상행",644,4,"주간선도로","외곽","강남구",58.84
20200801,"토","남부순환로",1220020200,"남부순환로탄천IC진입","수서IC","상행",698,3,"주간선도로","외곽","강남구",56.89
20200801,"토","남부순환로",1220020300,"수서IC","남부순환로탄천IC진입","하행",706,3,"주간선도로","외곽","강남구",36.63
20200801,"토","남부순환로",1220022100,"남부순환로탄천IC진입","남부순환로탄천IC합류","하행",644,3,"주간선도로","외곽","강남구",56.64
20200801,"토","남부순환로",1220023600,"남부순환로탄천IC합류","탄천1교서측","하행",393,2,"주간선도로","외곽","강남구",40.59
20200801,"토","남부순환로",1220022700,"탄천1교서측","학여울역","하행",955,4,"주간선도로","외곽","강남구",30.38
20200801,"토","남부순환로",1220021200,"학여울역","대치역","하행",629,4,"주간선도로","외곽","강남구",21.79
20200801,"토","남부순환로",1220018400,"대치역","도곡역","하행",798,4,"주간선도로","외곽","강남구",20.64
20200801,"토","남부순환로",1220014200,"도곡역","매봉터널","하행",564,4,"주간선도로","외곽","강남구",27.31
20200801,"토","남부순환로",1220012400,"매봉터널","매봉역","하행",458,4,"주간선도로","외곽","강남구",35.54
20200801,"토","남부순환로",1220010600,"매봉역","양재전화국","하행",368,4,"주간선도로","외곽","강남구",12.29
20200801,"토","논현로",1220036600,"동호대교남단","압구정역","상행",634,2,"주간선도로","외곽","강남구",25.01
20200801,"토","논현로",1220034400,"압구정역","강남을지병원","상행",833,2,"주간선도로","외곽","강남구",21.94
20200801,"토","논현로",1220032200,"강남을지병원","학동역","상행",677,3,"주간선도로","외곽","강남구",20.98
20200801,"토","논현로",1220029600,"학동역","차병원","상행",792,3,"주간선도로","외곽","강남구",13.9
20200801,"토","논현로",1220026200,"차병원","역삼역","상행",768,3,"주간선도로","외곽","강남구",26.76
20200801,"토","논현로",1220022900,"역삼역","구역삼세무서","상행",589,3,"주간선도로","외곽","강남구",21.68
20200801,"토","논현로",1220019800,"구역삼세무서","도곡1동주민센터","상행",409,3,"주간선도로","외곽","강남구",17.76
20200801,"토","논현로",1220013400,"도곡1동주민센터","양재전화국","상행",770,3,"주간선도로","외곽","강남구",22.06
20200801,"토","논현로",1220007200,"영동2교북단","포이사거리","상행",254,3,"주간선도로","외곽","강남구",14.3
20200801,"토","논현로",1220006300,"구룡사앞","국악고교앞","하행",319,3,"주간선도로","외곽","강남구",23.72
20200801,"토","논현로",1220007700,"영동2교북단","영동2교교차로","하행",177,3,"주간선도로","외곽","강남구",18.52
20200801,"토","논현로",1220019900,"도곡1동주민센터","구역삼세무서","하행",409,3,"주간선도로","외곽","강남구",24.73
20200801,"토","논현로",1220023000,"구역삼세무서","역삼역","하행",589,3,"주간선도로","외곽","강남구",20.83
20200801,"토","논현로",1220026300,"역삼역","차병원","하행",768,3,"주간선도로","외곽","강남구",17.03
20200801,"토","논현로",1220029700,"차병원","학동역","하행",792,3,"주간선도로","외곽","강남구",24.85
20200801,"토","논현로",1220032300,"학동역","강남을지병원","하행",676,3,"주간선도로","외곽","강남구",22.98
20200801,"토","논현로",1220034500,"강남을지병원","압구정역","하행",835,3,"주간선도로","외곽","강남구",26.2
20200801,"토","논현로",1220036700,"압구정역","동호대교남단","하행",641,2,"주간선도로","외곽","강남구",34.8
20200801,"토","논현로",1220037100,"동호대교남단","동호대교북단","하행",1024,2,"주간선도로","외곽","강남구",41.18
20200801,"토","도곡로",1220016700,"싸리고개공원입구","도곡1동주민센터","상행",551,3,"보조간선도로","외곽","강남구",23.57
20200801,"토","도곡로",1220019100,"도곡1동주민센터","영동세브란스","상행",554,3,"보조간선도로","외곽","강남구",15.12
20200801,"토","도곡로",1220020900,"영동세브란스","한티역","상행",593,4,"보조간선도로","외곽","강남구",29.57
20200801,"토","도곡로",1220022600,"한티역","은마아파트입구","상행",764,4,"보조간선도로","외곽","강남구",20.11
20200801,"토","도곡로",1220024300,"은마아파트입구","대치동우성아파트","상행",624,4,"보조간선도로","외곽","강남구",14.37
20200801,"토","도곡로",1220025700,"대치동우성아파트","탄천2교","상행",886,3,"보조간선도로","외곽","강남구",37.18
20200801,"토","도곡로",1220024200,"대치동우성아파트","은마아파트입구","하행",625,3,"보조간선도로","외곽","강남구",18.78
20200801,"토","도곡로",1220022500,"은마아파트입구","한티역","하행",764,4,"보조간선도로","외곽","강남구",23.3
20200801,"토","도곡로",1220020800,"한티역","영동세브란스","하행",592,3,"보조간선도로","외곽","강남구",20.45
20200801,"토","도곡로",1220019000,"영동세브란스","도곡1동주민센터","하행",554,3,"보조간선도로","외곽","강남구",26.67
20200801,"토","도곡로",1220016600,"도곡1동주민센터","싸리고개공원입구","하행",551,3,"보조간선도로","외곽","강남구",25.41
20200801,"토","도곡로",1220015400,"싸리고개공원입구","뱅뱅사거리","하행",328,3,"보조간선도로","외곽","강남구",28.05
20200801,"토","도산대로",1220034800,"영동대교남단교차로","청담사거리","상행",642,4,"보조간선도로","외곽","강남구",24.65
20200801,"토","도산대로",1220034600,"청담사거리","학동사거리","상행",732,5,"보조간선도로","외곽","강남구",24.11
20200801,"토","도산대로",1220034200,"학동사거리","도산공원","상행",505,5,"보조간선도로","외곽","강남구",16.06
20200801,"토","도산대로",1220033600,"도산공원","강남을지병원","상행",545,5,"보조간선도로","외곽","강남구",16.34
20200801,"토","도산대로",1220032600,"강남을지병원","신사역","상행",855,5,"보조간선도로","외곽","강남구",20.76
20200801,"토","도산대로",1220033700,"강남을지병원","도산공원","하행",545,4,"보조간선도로","외곽","강남구",18.23
20200801,"토","도산대로",1220034300,"도산공원","학동사거리","하행",505,5,"보조간선도로","외곽","강남구",16.5
20200801,"토","도산대로",1220034700,"학동사거리","청담사거리","하행",732,4,"보조간선도로","외곽","강남구",19.59
20200801,"토","도산대로",1220034900,"청담사거리","영동대교남단교차로","하행",642,3,"보조간선도로","외곽","강남구",28.61
20200801,"토","밤고개로",1220005900,"밤고개로성남시계","세곡동사거리","상행",279,4,"주간선도로","외곽","강남구",38.22
20200801,"토","밤고개로",1220006700,"세곡동사거리","수서역","상행",2622,3,"주간선도로","외곽","강남구",15.55
20200801,"토","밤고개로",1220013900,"수서역","수서IC","상행",697,3,"주간선도로","외곽","강남구",44.89
20200801,"토","밤고개로",1220013800,"수서IC","수서역","하행",701,3,"주간선도로","외곽","강남구",20
20200801,"토","밤고개로",1220006600,"수서역","세곡동사거리","하행",2612,4,"주간선도로","외곽","강남구",27.19
20200801,"토","밤고개로",1220005800,"세곡동사거리","밤고개로성남시계","하행",279,4,"주간선도로","외곽","강남구",42.25
20200801,"토","봉은사로",1220031400,"봉은교","코엑스","상행",577,3,"주간선도로","외곽","강남구",27.04
20200801,"토","봉은사로",1220030800,"코엑스","차관아파트","상행",625,3,"주간선도로","외곽","강남구",23.39
20200801,"토","봉은사로",1220030000,"차관아파트","삼릉공원","상행",891,3,"주간선도로","외곽","강남구",22.81
20200801,"토","봉은사로",1220029000,"삼릉공원","경복아파트","상행",506,3,"주간선도로","외곽","강남구",17.54
20200801,"토","봉은사로",1220028200,"경복아파트","차병원","상행",436,3,"주간선도로","외곽","강남구",10.39
20200801,"토","봉은사로",1220027200,"차병원","교보타워사거리","상행",887,3,"주간선도로","외곽","강남구",19.28
20200801,"토","봉은사로",1220028300,"차병원","경복아파트","하행",436,3,"주간선도로","외곽","강남구",21.89
20200801,"토","봉은사로",1220029100,"경복아파트","삼릉공원","하행",506,3,"주간선도로","외곽","강남구",18.6
20200801,"토","봉은사로",1220030100,"삼릉공원","차관아파트","하행",891,3,"주간선도로","외곽","강남구",27.77
20200801,"토","봉은사로",1220030900,"차관아파트","코엑스","하행",625,3,"주간선도로","외곽","강남구",17.64
20200801,"토","봉은사로",1220031500,"코엑스","봉은교","하행",578,3,"주간선도로","외곽","강남구",20.47
20200801,"토","봉은사로",1220031700,"봉은교","종합운동장후문","하행",291,2,"주간선도로","외곽","강남구",13.65
20200801,"토","봉은사로114길",1220037400,"서울의료원(봉은교)","강남경찰서","상행",614,2,"기타도로","외곽","강남구",24.54
20200801,"토","분당수서로",1220003800,"청담대교남단","탄천IC진출(동부간선도로)","상행",2999,3,"도시고속도로","외곽","강남구",53.92
20200801,"토","분당수서로",1220002500,"탄천IC진출(동부간선도로)","탄천IC진입(동부간선도로)","상행",523,3,"도시고속도로","외곽","강남구",66.58
20200801,"토","분당수서로",1220001700,"탄천IC진입(동부간선도로)","수서IC(동부간선도로)","상행",2001,3,"도시고속도로","외곽","강남구",66.58
20200801,"토","분당수서로",1230001500,"수서IC(동부간선도로)","복정교차로","상행",3061,3,"도시고속도로","외곽","강남구",67.33
20200801,"토","분당수서로",1230001600,"복정교차로","수서IC(동부간선도로)","하행",3065,3,"도시고속도로","외곽","강남구",76.83
20200801,"토","분당수서로",1220001800,"수서IC(동부간선도로)","탄천IC진입(동부간선도로)","하행",2004,3,"도시고속도로","외곽","강남구",31.42
20200801,"토","분당수서로",1220003000,"탄천IC진입(동부간선도로)","동부간선올림픽대로진출","하행",2075,3,"도시고속도로","외곽","강남구",53
20200801,"토","분당수서로",1220003900,"동부간선올림픽대로진출","청담대교남단","하행",1437,3,"도시고속도로","외곽","강남구",74.58
20200801,"토","분당수서로",1220005100,"청담대교남단","청담대교북단","하행",1138,3,"도시고속도로","외곽","강남구",74.58
20200801,"토","사임당로",1210020000,"우성아파트","서이초교","상행",321,2,"보조간선도로","외곽","강남구",19.35
20200801,"토","삼성로",1220034000,"청담사거리","청담공원앞","상행",650,3,"보조간선도로","외곽","강남구",19.74
20200801,"토","삼성로",1220031800,"청담공원앞","차관아파트","상행",698,3,"보조간선도로","외곽","강남구",21.97
20200801,"토","삼성로",1220029200,"차관아파트","포스코사거리","상행",745,3,"보조간선도로","외곽","강남구",27.88
20200801,"토","삼성로",1220026600,"포스코사거리","대치사거리","상행",453,3,"보조간선도로","외곽","강남구",19.91
20200801,"토","삼성로",1220024800,"대치사거리","은마아파트입구","상행",511,3,"보조간선도로","외곽","강남구",25.01
20200801,"토","삼성로",1220021800,"은마아파트입구","대치역","상행",527,4,"보조간선도로","외곽","강남구",18.2
20200801,"토","삼성로",1220018200,"대치역","영동5교","상행",356,3,"보조간선도로","외곽","강남구",35.33
20200801,"토","삼성로",1220015000,"영동5교","개포동역","상행",289,3,"보조간선도로","외곽","강남구",22.73
20200801,"토","삼성로",1220012600,"개포동역","경기여고앞","상행",358,3,"보조간선도로","외곽","강남구",29.27
