sat,y,weight,width,color,spine
8,1,3.05,28.3,2,3
0,0,1.55,22.5,3,3
9,1,2.3,26,1,1
0,0,2.1,24.8,3,3
4,1,2.6,26,3,3
0,0,2.1,23.8,2,3
0,0,2.35,26.5,1,1
0,0,1.9,24.7,3,2
0,0,1.95,23.7,2,1
0,0,2.15,25.6,3,3
0,0,2.15,24.3,3,3
0,0,2.65,25.8,2,3
11,1,3.05,28.2,2,3
0,0,1.85,21,4,2
14,1,2.3,26,2,1
8,1,2.95,27.1,1,1
1,1,2,25.2,2,3
1,1,3,29,2,3
0,0,2.2,24.7,4,3
5,1,2.7,27.4,2,3
4,1,1.95,23.2,2,2
3,1,2.3,25,1,2
1,1,1.6,22.5,2,1
2,1,2.6,26.7,3,3
3,1,2,25.8,4,3
0,0,1.3,26.2,4,3
3,1,3.15,28.7,2,3
5,1,2.7,26.8,2,1
0,0,2.6,27.5,4,3
0,0,2.1,24.9,2,3
4,1,3.2,29.3,1,1
0,0,2.6,25.8,1,3
0,0,2,25.7,2,2
8,1,2,25.7,2,1
5,1,2.7,26.7,2,1
0,0,1.85,23.7,4,3
0,0,2.65,26.8,2,3
6,1,3.15,27.5,2,3
0,0,1.9,23.4,4,3
6,1,2.8,27.9,2,3
3,1,3.1,27.5,3,3
5,1,2.8,26.1,1,1
6,1,2.5,27.7,1,1
5,1,3.3,30,2,1
9,1,3.25,28.5,3,1
4,1,2.8,28.9,3,3
6,1,2.6,28.2,2,3
4,1,2.1,25,2,3
3,1,3,28.5,2,3
3,1,3.6,30.3,2,1
5,1,2.1,24.7,4,3
5,1,2.9,27.7,2,3
6,1,2.7,27.4,1,1
4,1,1.6,22.9,2,3
5,1,2,25.7,2,1
15,1,3,28.3,2,3
3,1,2.7,27.2,2,3
3,1,2.3,26.2,3,3
0,0,2.75,27.8,2,1
0,0,2.25,25.5,4,3
0,0,2.55,27.1,3,3
5,1,2.05,24.5,3,3
3,1,2.45,27,3,1
5,1,2.15,26,2,3
1,1,2.8,28,2,3
8,1,3.05,30,2,3
10,1,3.2,29,2,3
0,0,2.4,26.2,2,3
0,0,1.3,26.5,2,1
3,1,2.4,26.2,2,3
7,1,2.8,25.6,3,3
1,1,1.65,23,3,3
0,0,1.8,23,3,3
6,1,2.25,25.4,2,3
0,0,1.9,24.2,3,3
0,0,1.6,22.9,2,2
3,1,2.2,26,3,2
4,1,2.25,25.4,2,3
0,0,1.2,25.7,3,3
5,1,2.1,25.1,2,3
0,0,2.25,24.5,3,2
0,0,2.9,27.5,4,3
0,0,1.65,23.1,3,3
4,1,2.55,25.9,3,1
0,0,2.3,25.8,2,3
3,1,2.25,27,4,3
0,0,3.05,28.5,2,3
0,0,2.75,25.5,4,1
0,0,1.9,23.5,4,3
0,0,1.7,24,2,2
5,1,3.85,29.7,2,1
0,0,2.55,26.8,2,1
0,0,2.45,26.7,4,3
0,0,3.2,28.7,2,1
0,0,1.55,23.1,3,3
1,1,2.8,29,2,1
0,0,2.25,25.5,3,3
1,1,1.967,26.5,3,3
1,1,2.2,24.5,3,3
1,1,3,28.5,3,3
1,1,2.867,28.2,2,3
1,1,1.6,24.5,2,3
1,1,2.55,27.5,2,3
4,1,2.55,24.7,2,2
1,1,2,25.2,2,1
1,1,2.9,27.3,3,3
1,1,2.4,26.3,2,3
1,1,3.1,29,2,3
2,1,1.9,25.3,2,3
4,1,2.3,26.5,2,3
3,1,3.25,27.8,2,3
6,1,2.5,27,2,3
0,0,2.1,25.7,3,3
2,1,2.1,25,2,3
2,1,3.325,31.9,2,3
0,0,1.8,23.7,4,3
12,1,3.225,29.3,4,3
0,0,1.4,22,3,3
5,1,2.4,25,2,3
6,1,2.5,27,3,3
6,1,1.8,23.8,3,3
2,1,3.275,30.2,1,1
0,0,2.225,26.2,3,3
2,1,1.65,24.2,2,3
3,1,2.9,27.4,2,3
0,0,2.3,25.4,2,2
3,1,3.2,28.4,3,3
4,1,1.475,22.5,4,3
2,1,2.025,26.2,2,3
6,1,2.3,24.9,2,1
6,1,1.95,24.5,1,2
0,0,1.8,25.1,2,3
4,1,2.9,28,2,1
10,1,2.25,25.8,4,3
7,1,3.05,27.9,2,3
0,0,2.2,24.9,2,3
5,1,3.1,28.4,2,1
5,1,2.4,27.2,3,3
6,1,2.25,25,2,2
6,1,2.625,27.5,2,3
7,1,5.2,33.5,2,1
3,1,3.325,30.5,2,3
3,1,2.925,29,3,3
0,0,2,24.3,2,1
0,0,2.4,25.8,2,3
8,1,2.1,25,4,3
4,1,3.725,31.7,2,1
4,1,3.025,29.5,2,3
10,1,1.9,24,3,3
9,1,3,30,2,3
4,1,2.85,27.6,2,3
0,0,2.3,26.2,2,3
0,0,2,23.1,2,1
0,0,1.6,22.9,2,1
0,0,1.9,24.5,4,3
4,1,1.95,24.7,2,3
0,0,3.2,28.3,2,3
2,1,1.85,23.9,2,3
0,0,1.8,23.8,3,3
4,1,3.5,29.8,3,2
4,1,2.35,26.5,2,3
3,1,2.275,26,2,3
8,1,3.05,28.2,2,3
0,0,2.15,25.7,4,3
7,1,2.75,26.5,2,3
0,0,2.2,25.8,2,3
0,0,1.8,24.1,3,3
2,1,2.175,26.2,3,3
3,1,2.75,26.1,3,3
4,1,3.275,29,3,3
0,0,2.625,28,1,1
0,0,2.625,27,4,3
0,0,2,24.5,2,2
